"","species","Mean","SD","q.025","q.05","q.25","q.75","q.95","q.975","calibration","SP"
"56","Syngnathus leptorhynchus",0.125006152339061,0.000177376293760628,0.124675734886262,0.124750220755107,0.124909438248278,0.125097206975219,0.125280957558302,0.12536252747911,"COM6","Syngnathus leptorhynchus"
"57","Ammodytes personatus",0.0997225830045883,0.000274238403756532,0.0991017808207982,0.0993181768490338,0.0996162602674819,0.0998436929103389,0.100104101086997,0.100238723417214,"COM7","Ammodytes personatus"
"58","Blepsias cirrhosus",0.0993117704496828,0.000401730780210211,0.0984695814931706,0.0987577864250566,0.0991725311593903,0.0994718247573315,0.0998245997997216,0.100055303370834,"COM7","Blepsias cirrhosus"
"59","Gadus",0.100733559802176,0.000366021339781304,0.0999239277083015,0.100167832176634,0.100588611650269,0.100881184798399,0.101282086540072,0.101512647467782,"COM7","Gadus"
"60","Hexagrammos",0.0991444636063161,0.000154943971119752,0.0988458959959744,0.0989012052979113,0.0990518133855205,0.0992360436970872,0.0993940672086746,0.0994499511338993,"COM7","Hexagrammos"
"61","Lumpenus sagitta",0.0997145257963676,0.000316560796783896,0.0991040948997723,0.0992555143689407,0.0995549077423212,0.0998802986538952,0.10017927484003,0.100329394094644,"COM7","Lumpenus sagitta"
"62","Oncorhynchus gorbuscha",0.10144634657297,0.000681102644700701,0.100027916941445,0.100444536140338,0.101171675508569,0.101733484232623,0.102364938867212,0.102747123727912,"COM7","Oncorhynchus gorbuscha"
"63","Ophiodon elongatus",0.10010059612691,0.000328448723906323,0.099354414009435,0.099556238600561,0.0999404928124284,0.10026231695853,0.100610278879327,0.100800911767862,"COM7","Ophiodon elongatus"
"64","Pholis laeta",0.0997345650244144,0.000259264249896731,0.0992183482431707,0.0993373107540446,0.0995966666781706,0.0998663996019295,0.100130549179699,0.100258897984013,"COM7","Pholis laeta"
"65","Sebastes 1",0.100570401992553,0.000485573406885644,0.0994468946973111,0.0998323119072563,0.100404958491025,0.100764902767177,0.101250035339434,0.101553682612313,"COM7","Sebastes 1"
"66","Syngnathus leptorhynchus",0.0995211876240211,0.000136687938768898,0.0992616546159772,0.0993084401666962,0.0994378837186243,0.0996031931915836,0.0997517984416289,0.099808131400154,"COM7","Syngnathus leptorhynchus"
"67","Blepsias cirrhosus",0.0660560154846771,8.51874744349072e-05,0.0658795230499437,0.0659273074952635,0.0660125855669846,0.0661026453098415,0.0661831469877679,0.0662209180631722,"COM8","Blepsias cirrhosus"
"68","Clupea pallasii",0.0666815492107841,0.000160664366899885,0.0663057696643364,0.0664430455932727,0.0666277789583291,0.066738868042511,0.0669178849686196,0.0670223887570198,"COM8","Clupea pallasii"
"69","Cymatogaster aggregata",0.0669752663273272,9.11354106901289e-05,0.0667962941645852,0.0668389816856108,0.0669256022632116,0.0670238134189997,0.0671118948756539,0.0671598547167679,"COM8","Cymatogaster aggregata"
"70","Gadus",0.0669533065510853,0.000222814394442062,0.0663952475935584,0.0665720393542383,0.0668692826013518,0.0670463051527661,0.0672892259508254,0.0674343036280871,"COM8","Gadus"
"71","Hexagrammos",0.0664852446191417,9.80920869599675e-05,0.0663030605675179,0.066345138163965,0.0664375626350741,0.066533908239823,0.0666261948374261,0.0666642548725296,"COM8","Hexagrammos"
"72","Lepidopsetta",0.0670175019461606,0.000152125340941305,0.0666574671713688,0.0667970611207866,0.0669708274100711,0.0670767723876339,0.0672147863632602,0.0673083925396359,"COM8","Lepidopsetta"
"73","Lumpenus sagitta",0.0665009413484021,0.000111389462681703,0.0662820979571972,0.0663310333086386,0.0664439422111541,0.0665577077958768,0.066675537587946,0.0667284973303194,"COM8","Lumpenus sagitta"
"74","Oncorhynchus gorbuscha",0.0668671451076084,0.000159517757885671,0.0664708344388445,0.0665887459622856,0.0668042959369322,0.066939212682266,0.0671089246443263,0.0672027328193996,"COM8","Oncorhynchus gorbuscha"
"75","Oncorhynchus keta",0.0661263272891522,6.49637940331499e-05,0.0660024528497398,0.0660262490960053,0.0660889026784946,0.0661624351190374,0.0662222970311194,0.0662476529377716,"COM8","Oncorhynchus keta"
"76","Ophiodon elongatus",0.0669066109894985,0.000230612953554268,0.0663884834092886,0.0665451478684071,0.0668166653619844,0.0669945370001766,0.0672781905312719,0.0674455190757152,"COM8","Ophiodon elongatus"
"77","Pholis laeta",0.0666799480718835,9.96921964147662e-05,0.0664819536719485,0.0665283449879017,0.0666258536668383,0.0667310884661711,0.0668353767349236,0.0668879145066792,"COM8","Pholis laeta"
"78","Sebastes 1",0.0666920955457268,0.00020474223184497,0.0662149872242241,0.0663632223462208,0.0666133138008406,0.0667755977699438,0.0670001743313284,0.0671413077279318,"COM8","Sebastes 1"
"79","Sebastes 3",0.0673361497532322,0.000221713216284096,0.0668326689791515,0.0669989239941371,0.0672635592470732,0.0674113564904288,0.0676339473464835,0.0678090041070514,"COM8","Sebastes 3"
